Test Case,Drill On,Drill On 2,Rank,Rank 2,RAN Vendor,RNC,RNC 2,Controller,Controller 2,Event Type,Event Type 2,Failures,Failures 2,Impacted Subscribers,Impacted Subscribers 2,Event Time,IMSI,TAC,Terminal Make,Terminal Model,Procedure Indicator,Evaluation Case,Exception Class,Cause Value,Extended Cause Value,Severity Indicator,Access Area,Cause Code,Cause Code Id,CC Failures,Sub Cause Code Id,Sub Cause Code,Occurrences,LAC,RAC,Manufacturer,Model,Re-establishment Failures,Re-establishment Failures 2,Disconnection Description,Disconnection Code Id,Disconnection SubCode Id
5.5.1,,,1,2,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.1a,,,1,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.2,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Setup Failures,,653,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.2a,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,2300,,1607,,,,,,,,,,,,,,,,,,,,,,,,146,,,,
5.5.3,,,,,,,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84331B,,,,,,,,,,,,,,,
5.5.3a,,,,,,,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302139649,35266804,HTC,Desire,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84649A,,,,,,,,,,,,,,,
5.5.4,,,2,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Setup Failures,,13,,,,,,,,,,,,,,,84167A,,,,,,,,,,,,,,,
5.5.4a,,,1,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,38,,,,,,,,,,,,,,,86053A,,,,,,,,,,,,,,,
5.5.5,86053A,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,8,,6,,,,,,,,,,,,,86053A,,,,,,,,,,,,,,,
5.5.5a,86053A,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,38,,15,,,,,,,,,,,,,86053A,,,,,,,,,,,5,,,,
5.5.6,86053A,,,,,,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302988061,35977804,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,,,,,,,,,,,,,,,,
5.5.6a,86053A,,,,,,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302988061,35977804,Samsung,GT-I9100,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,,,,,,,,,,,,,,,,
5.5.7a,Call Drops,,2,,,,,smartone_R:RNC09:RNC09,,,,,,,,,,,,,,,,,,,,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,1,581,,,,,,,,,,,,
5.5.7b,Call Setup Failures,,1,,,,,smartone_R:RNC09:RNC09,,,,,,,,,,,,,,,,,,,,PROCEDURE_TIMEOUT,49,523,,,,,,,,,,,,
5.5.8a,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,,,,,,,smartone_R:RNC09:RNC09,,,,581,,275,,,,,,,,,,,,,,,,,0,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,,,,,,,,,,
5.5.8b,PROCEDURE_TIMEOUT,,,,,,,smartone_R:RNC09:RNC09,,,,513,,393,,,,,,,,,,,,,,,,,31,RAB_ESTABLISHMENT_SEQUENCE_1,,,,,,,,,,
5.5.9,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,653,,472,,,454061105023960,1243000,Apple,iPhone 4,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,82095D,,,,,,,8900,3,,,,,,,
5.5.9a,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,25,,23,,,454063302933252,35815004,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,86153B,,,,,,,8900,2,,,,,,,
5.5.9b,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,592,,451,,,454061103037814,35976903,Simcom,SIM5215/SIM5216,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,81291C,,,,,,,8900,3,,,,,,,
