Test Case,Drill On,Drill On 2,Rank,Rank 2,RAN Vendor,RNC,RNC 2,Controller,Controller 2,Event Type,Event Type 2,Failures,Failures 2,Impacted Subscribers,Impacted Subscribers 2,Event Time,IMSI,TAC,Terminal Make,Terminal Model,Procedure Indicator,Evaluation Case,Exception Class,Cause Value,Extended Cause Value,Severity Indicator,Access Area,Cause Code,Cause Code Id,CC Failures,Sub Cause Code Id,Sub Cause Code,Occurrences,LAC,RAC,Manufacturer,Model,Re-establishment Failures,Re-establishment Failures 2,Disconnection Description,Disconnection Code Id,Disconnection SubCode Id
5.5.9c,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,36,,29,,,454061101363891,35711604,LG,Optimus 3D,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,82040A,,,,,,,8900,3,,,,,,,
5.5.10,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,2300,,1607,,,454063899273455,35638302,Nokia,6600s-1c,OUTGOING_IRAT_HANDOVER,COVERAGE_BASED,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RELOCATION_SEQUENCE_T_RELOC_OVERALL,Unrecoverable,82095A,,,,,,,8900,3,,,146,,,,
5.5.10a,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,172,,134,,,454061106053931,1264600,Apple,iPhone 4,NOT_APPLICABLE,NOT_APPLICABLE,IUB_INTERFACE_NBAP_PROTOCOL_AREA,FAILURE_WITH_CAUSE_OTHER_THAN_TRANSPORT_LAYER_CAUSE,RADIO_LINK_FAILURE_INDICATION,Unrecoverable,84417A,,,,,,,8900,1,,,1,,,,
5.5.10b,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,2040,,1527,,,454061101358411,35831304,HTC,Sensation 4G,CHANNEL_SWITCHING,INCREASE_ACTIVITY_UL,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,84625D,,,,,,,8900,1,,,,,,,
5.5.10c,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,88,,57,,,454063307367857,35171005,Sony Ericsson,LT26i Xperia S,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84462A,,,,,,,8900,1,,,1,,,,
5.5.11a,smartone_R:RNC09:RNC09,,,,,,,smartone_R:RNC09:RNC09,,Call Drops,,1,,1,,,454063899273455,35638302,Nokia,6600s-1c,OUTGOING_IRAT_HANDOVER,COVERAGE_BASED,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RELOCATION_SEQUENCE_T_RELOC_OVERALL,Unrecoverable,82095A,,,,,,,,,Nokia,6600s-1c,,,,,
5.5.11b,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,2,,2,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84331B,,,,,,,8900,3,HTC,Incredible S,,,,,
5.5.12a,smartone_R:RNC09:RNC09,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,1,,1,,,454063302933252,35815004,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,86153B,,,,,,,8900,2,,,,,,,
5.5.12b,smartone_R:RNC09:RNC09,,,,Ericsson,,,smartone_R:RNC09:RNC09,,Call Drops,,2,,1,,,454063307367857,35171005,Sony Ericsson,LT26i Xperia S,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84462A,,,,,,,8900,1,Sony Ericsson,LT26i Xperia S,,,,,
5.5.13,84423B,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,4,,4,,,454063302988446,35961604,Samsung,GT-N7000,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84423B,,,,,,,8900,3,,,,,,,
5.5.13a,84527H,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,1,,1,,,454061101282335,35933403,Nokia,6700,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,84527H,,,,,,,8900,2,,,,,,,
5.5.13b,80837F,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,2,,2,,,454061101490460,35182205,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,80837F,,,,,,,8900,1,,,,,,,
5.5.13c,80221D,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,1,,1,,,454063302403092,35853704,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,80221D,,,,,,,8900,1,,,,,,,
5.5.14,81626A,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,26,,6,,,454061106104480,1274700,Apple,iPhone 4,CHANNEL_SWITCHING,INACTIVITY,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Recoverable,81626A,,,,,,,8900,1,,,4,,,,
5.5.14a,82086F,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,1,,1,,,454063302816849,35581504,Samsung,SGH-I997,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,82086F,,,,,,,8900,1,,,,,,,
5.5.14b,81359P,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,5,,5,,,454063307073726,1253900,Apple,iPhone 4,MOBILITY,HANDOVER_UL_FAILURE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,NODE_INTERNAL_FAILURE_3,Unrecoverable,81359P,,,,,,,8900,2,,,,,,,
5.5.14c,81359K,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,1,,1,,,454061106069495,1296300,Apple,iPhone 4,RAB_RELEASE,INACTIVITY,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_RELEASE_SEQUENCE_1,Unrecoverable,81359K,,,,,,,8900,2,,,,,,,
5.5.15,82086F,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,1,,1,,,,35581504,Samsung,SGH-I997,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,82086F,,,,,,,8900,1,,,,,RCS - Timer Expiry,1,2
5.5.15a,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,24,,17,,,454063302696089,35815004,Samsung,GT-I9100,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,80733M,,,,,,,8900,1,Samsung,GT-I9100,,,,,
5.5.15b,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,7,,6,,,454061101328005,35965104,Samsung,GT-I9100,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,NODE_INTERNAL_FAILURE_3,Unrecoverable,80837C,,,,,,,8900,1,Samsung,GT-I9100,,,,,
5.5.16,AutomationControllerGroupTest,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,Call Drops,653,2300,472,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.17,AutomationControllerGroupTest,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,3119,,1954,,,454063302991792,35851004,Sony Ericsson,ST17i,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84364D,,,,,,,8900,2,,,,,,,
5.5.17a,AutomationControllerGroupTest,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,1219,,689,,,454061105023960,1243000,Apple,iPhone 4,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,82095D,,,,,,,8900,3,,,,,,,
5.5.18,AutomationControllerGroupTest,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,2,,2,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84331B,,,,,,,8900,2,HTC,Incredible S,,,,,
5.5.19,AutomationControllerGroupTest,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,3,,3,,,454063307123284,1253600,Apple,iPhone 4,CHANNEL_SWITCHING,INCREASE_ACTIVITY_UL,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Unrecoverable,84675K,,,,,,,8900,2,Apple,iPhone 4,,,,,
5.5.20,AutomationAccessAreaGroup,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.21,AutomationAccessAreaGroup,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,300,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.22,AutomationAccessAreaGroup,,,,,,,smartone_R:RNC09:RNC09,,Call Drops,Call Setup Failures,380,620,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8.1,,,1,,,,,smartone_R:RNC09:RNC09,,,,19,,,,,454061101485049,,,,,,,,,,,,,,,,,,,,,4,,,,
5.8.2,1,,2,,,,,smartone_R:RNC09:RNC09,,,,,,,,10:09:44,454064500576547,35598303,Huawei,B970b,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84527G,,,,,,,,,,,,,,,
5.8.3,,,1,,,,,smartone_R:RNC09:RNC09,,,,127,,,,,,35961604,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,1,,,,
5.8.4,,,4,,,,,smartone_R:RNC09:RNC09,,Call Drops,Call Setup Failures,29,18,18,10,,,,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,1,,,,
5.8.5,Disconnection Code: Unknown,,1,,,,,smartone_R:RNC09:RNC09,,,,,,,,,454061101472627,35961604,Samsung,GT-N7000,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,,,,,,,,8900,3,,,,,,,
5.8.6,Circuit Switch,,2,,,,,smartone_R:RNC09:RNC09,,,,,,,,,454063302486760,35155405,Samsung,GT-I9250,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,84469B,,,,,,,8900,3,,,,,,,
5.8.7,,,1,,,,,smartone_R:RNC09:RNC09,,,,28,,,,,454063300895756,,,,,,,,,,,,,,,,,,,,,,,,,
5.8.8,,,3,,,,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,10:13:47,454063302848476,35526604,Samsung,Nexus S (I9020),NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84436A,,,,,,,,,,,,,,,
5.8.9,,,1,,,,,smartone_R:RNC09:RNC09,,,,94,,,,,,35961604,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,1,,,,
5.8.9a,,,1,,,,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302986072,35961604,Samsung,GT-N7000,SOFT_HANDOVER,RL_ADDITION,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84449E,,,,,,,,,Samsung,GT-N7000,,,,,
5.8.10,AutomationTerminalGroupTest,,,,,,,smartone_R:RNC09:RNC09,,,,94,,,,,,35961604,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,1,,,,
5.8.11,AutomationTerminalGroupTest,,,,,,,smartone_R:RNC09:RNC09,,,,33,,,,,,35961604,,,,,,,,,,,,,,,,,,Samsung,GT-N7000,,,,,
5.8.12,China,,,,,,,,,,,,,,,,460006673203073,1276000,Apple,iPhone 4,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,,,,,,,,,,,,,,,,
5.8.12a,China,,,,,,,smartone_R:RNC09:RNC09,,,,,,,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,,,,,,,,,,,,,,,,
5.8.13,China Mobile,,,,,,,,,,,,,,,,460006673203073,1276000,Apple,iPhone 4,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,,,,,,,,,,,,,,,,
5.8.13a,SmarTone,,,,,,,smartone_R:RNC09:RNC09,,,,,,,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,,,,,,,,,,,,,,,,
5.8.14,Call Drops,,3,,,,,smartone_R:RNC09:RNC09,,,,448,,386,,,,,,,,,,,,,,,,,,,,,,,,,,RCS - Timer Expiry,1,2
5.8.14a,,,3,,,,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063307293027,1300400,Apple,iPhone 4S,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,82040G,,,,,,,,,,,,,,,
5.8.14b,,,,,,,,,,,,7,,7,,,,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,,,,,,,,,,,,,,RCS - Timer Expiry,1,2
5.5.23,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,,,1415,,903,,,,,,,,,,,,,,NODE_INTERNAL_FAILURE_6,69,,,,,,,,,,,,,
5.5.23a,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,,,977,,386,,,,,,,,,,,,,,,1,,0,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,,,,,,,,,,
5.5.23b,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302245093,35592104,Samsung,Nexus S (I9020),NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,,,,84441A,,1,,0,,,8900,1,,,,,,,
5.5.24,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,,,,84331B,49-PROCEDURE_TIMEOUT,,,,31-RAB_ESTABLISHMENT_SEQUENCE_1,,8900,2,,,,,,,
5.5.24a,,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454063302878382,35530104,HTC,Incredible S,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,,,,84331B,49-PROCEDURE_TIMEOUT,,,4,RADIO_LINK_RECONFIGURATION_PREPARE_FAILURE,,8900,2,,,,,,,
5.5.25,Packet Switch,INTERACTIVE_PS_EUL_HS,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Setup Failures,,,,,,,454061105023960,1243000,Apple,iPhone 4,RAB_ESTABLISHMENT,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_ESTABLISHMENT_SEQUENCE_1,Unrecoverable,82095D,,,,,,,8900,3,,,,,,,
5.5.26,Multi RAB,CONVERSATIONAL_CS_12.2_12.2-INTERACTIVE_PS_64_64,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063391517585,35748404,LG,P500,RAB_RELEASE,INACTIVITY,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,RAB_RELEASE_SEQUENCE_1,Unrecoverable,82107E,,,,,,,8900,2,,,,,,,
5.5.27,Channel Switching,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454061106158635,35171005,Sony Ericsson,LT26i Xperia S,MOBILITY,NOT_APPLICABLE,UU_INTERFACE_RRC_PROTOCOL_AREA,PROCEDURE_TIMEOUT,CHANNEL_SWITCH_SEQUENCE_1,Unrecoverable,82087E,,,,,,,8900,1,,,,,,,
5.5.27a,,,,,,,,smartone_R:RNC09:RNC09,,Call Drops,,292,,249,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Switching,9,1
5.5.28,RCS - Timer Expiry,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063302864133,35918804,HTC,One X,NOT_APPLICABLE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,EXPIRY_OF_RCS_TIMER,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,82197D,,,,,,,8900,1,,,,,,,
5.5.29,Unspecified,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063307223671,1303400,Apple,iPhone 4S,NOT_APPLICABLE,NOT_APPLICABLE,SYSTEM_CONNECTION_TERMINATION,REQUESTED_REQUEST_TYPE_NOT_SUPPORTED,EXTENDED_CAUSE_VALUE_NOT_APPLICABLE,Unrecoverable,84162C,,,,,,,8900,3,,,,,,,
5.5.30,RCS - Max RLC Retrans reached,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,Call Drops,,,,,,,454063308024909,35187005,Sony Ericsson,LT18i,RAB_RELEASE,NOT_APPLICABLE,UU_INTERFACE_USER_PLANE_PROTOCOL_AREA,NODE_INTERNAL_FAILURE_6,RLC_FAILURE,Recoverable,84416B,,,,,,,8900,1,,,,,,,
5.5.31,84684E,,,,Ericsson,smartone_R:RNC09:RNC09,,smartone_R:RNC09:RNC09,,,,3,,1,,,,,,,,,,,,,,NODE_INTERNAL_FAILURE_6,69,,,,,,,,,,,,,
